Type,StudentNo1,StudentNo2,ConsultantName,ConsultantMail,AssistantName,AssistantMail
Ara,21011001,22011999,bxs,example@gmail.com,fb,example@gmail.com
Ara,21011002,22011998,bxs,example@gmail.com,bf,example@gmail.com
Bitirme,21011003,22011997,sp,example@gmail.com,bak,example@gmail.com
Ara,21011004,22011996,wes,example@gmail.com,bf,example@gmail.com
Bitirme,21011005,22011995,bxs,example@gmail.com,fb,example@gmail.com
Ara,21011006,22011994,wes,example@gmail.com,bf,example@gmail.com
Bitirme,21011007,22011993,sp,example@gmail.com,bak,example@gmail.com
Ara,21011008,22011992,wes,example@gmail.com,bf,example@gmail.com
Bitirme,21011009,22011991,bxs,example@gmail.com,fb,example@gmail.com
Ara,21011010,22011990,sp,example@gmail.com,fb,example@gmail.com
